Address,Full Address,Name,Date,Architect,Builder,Style,Link,Notes,Photo,Marker
1011 Hanshaw Rd,"1011 Hanshaw Rd, Ithaca, NY 14850",Formerly Hanshaw House,1870,,,Greek Revival Farm House,,"The Hanshaw family gave its name to Hanshaw Road. James Hanshaw purchased a 92-acre lot from Jacob and Mary Cradit in 1830. The Hanshaw farm lot ran north and south of Hanshaw Road at the intersection of today’s Pleasant Grove Road, from about present-day Texas Lane in the north and south along Pleasant Grove Road. Christine Hanshaw, James’s widow, and their children and their spouses sold the property in 1871 to Jesse Manning for $9,500. The house at 1011 Hanshaw Road, on the Hanshaw’s lot, was built in 1870, according to the Tompkins County Assessment page.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWldVMkZ2Q3pLSHM&export=download,
1013 Triphammer Rd,"1013 Triphammer Rd, Ithaca, NY 14850",,1952,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRi1iWXNRSm1GR1k&export=download,
1017 Triphammer Rd,"1017 Triphammer Rd, Ithaca, NY 14850",,1985,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTGxnS05IbnJja2s&export=download,
1018 Triphammer Rd,"1018 Triphammer Rd, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdXY5RFo3NU1MWEU&export=download,
102 Brook Lane,"102 Brook Lane, Ithaca, NY 14850",,1969,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNmdhUVlzREJMMEk&export=download,
102 Burleigh Dr,"102 Burleigh Dr, Ithaca, NY 14850",,1975,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbDNiek5yOVRGN0E&export=download,
102 Cambridge Pl,"102 Cambridge Pl, Ithaca, NY 14850",,1978,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMjBIYVZJbDN3YjQ&export=download,
102 Corson Pl,"102 Corson Pl, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMOThMYktzaVRLR2M&export=download,
102 Forest Dr,"102 Forest Dr, Ithaca, NY 14850",,1947,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMS2tqWGRlejgxUGM&export=download,
102 Highgate Pl,"102 Highgate Pl, Ithaca, NY 14850",,1956,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMblphd2RhOEtQY2M&export=download,
102 Highgate Rd,"102 Highgate Rd, Ithaca, NY 14850",,1951,Tallman & Tallman,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTDdjWFdaaXhxanM&export=download,
102 Iroquois Pl,"102 Iroquois Pl, Ithaca, NY 14850",,1930,,,Queen Anne,,"Home of Cayuga Heights Mayor, Walter Lynn, 1970-2000. Impressive gardens can be seen from the street. (Natural Environment)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdWtCSzVNN3JmcU0&export=download,
102 Lexington Dr,"102 Lexington Dr, Ithaca, NY 14850",,1983,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbHU0VTNoVkxELUE&export=download,
102 Needham Pl,"102 Needham Pl, Ithaca, NY 14850",,land only,,,land only,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcnA0OU92ZTVhUkU&export=download,
102 North Sunset Dr,"102 North Sunset Dr, Ithaca, NY 14850",,1951,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTnFoQzJVM0RRUnM&export=download,
102 Northway Rd,"102 Northway Rd, Ithaca, NY 14850",,1925,,,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMjBkRHNxWEZZSkE&export=download,
102 Sunset Dr,"102 Sunset Dr, Ithaca, NY 14850",,1935,,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMjFhM0N3VTdCMlE&export=download,
102 White Park Pl,"102 White Park Pl, Ithaca, NY 14850",,1924,Carl C. Tallman,,Craftsman,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTHBBYW0tdWFGNDg&export=download,
1020 Highland Rd,"1020 Highland Rd, Ithaca, NY 14850",,1951,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSFd2MGdtWWo2YTA&export=download,
1020 Triphammer Rd,"1020 Triphammer Rd, Ithaca, NY 14850",,1958,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZjRjUm5vUFlhcDg&export=download,
1025 Highland Rd,"1025 Highland Rd, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNkI2Y2hVRGc3MGc&export=download,
103 Burleigh Dr,"103 Burleigh Dr, Ithaca, NY 14850",,1974,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdzhLOFQxeU1BN1E&export=download,
103 Comstock Rd,"103 Comstock Rd, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbHVYeXctUzBBeTg&export=download,
103 Forest Dr,"103 Forest Dr, Ithaca, NY 14850",,1954,,,Ranch,,"1978-83 home of African American Civil Rights Leader, Makaza Kumanyika, formerly known as Herbert Callender. Spetember 11 is Makaza Kumanyika Day in New Jersey. Wife, Shiriki Kumanyika, was an epidemiologist at Cornell. Also home to Cayuga Heights school teacher, Constance Cougherty 1969-73. ",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMcW4zQ2ZncVU3a0U&export=download,
103 Hanshaw Rd,"103 Hanshaw Rd, Ithaca, NY 14850",,1929,,,Cape Cod,http://cayugaheightshistory.weebly.com/jack-lambert-illustrations.html,"1939 home of Magdalen Flexner, U.S. Ambassador in Europe, Consul General in France, her husband, William W. Flexner, mathemetician. Also home to Nobel Prize winner, Clinton Rossiter, as well as Robert ""Jack"" Lambert, Cornell professor of freehand drawing. See a gallery of his work on The History Project website or in person at Marcham Hall. (Major Award Winners,Artists, Notable Women)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMeEZlYWpRUnFnSEU&export=download,
103 Highgate Rd,"103 Highgate Rd, Ithaca, NY 14850",,1950,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdkRSZGIwWVZraVU&export=download,
103 Midway Rd,"103 Midway Rd, Ithaca, NY 14850",,1957,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMFpNeEJXYXJpZms&export=download,
103 Randolph Rd,"103 Randolph Rd, Ithaca, NY 14850",,1962,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbUowRV9hU3Q3Um8&export=download,
103 Simsbury Dr,"103 Simsbury Dr, Ithaca, NY 14850",,1972,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTmc2OE9seVRDRFU&export=download,
103 Warwick Pl,"103 Warwick Pl, Ithaca, NY 14850",,1964,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYU9MT1cxR3JaMkU&export=download,
103 White Park Rd,"103 White Park Rd, Ithaca, NY 14850",,1950,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTlkzT1U2cVRHN00&export=download,
1035 Highland Rd,"1035 Highland Rd, Ithaca, NY 14850",,1955,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMTdfRE5QMVV5OUE&export=download,
104 Berkshire Rd,"104 Berkshire Rd, Ithaca, NY 14850",,1954,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMLXQ0RmFBenhnREk&export=download,
104 Brook Lane,"104 Brook Lane, Ithaca, NY 14850",,1969,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTXRoanpSdTVuYUk&export=download,
104 Burleigh Dr,"104 Burleigh Dr, Ithaca, NY 14850",,1977,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVEZlUjB2c0p3RjQ&export=download,
104 Corson Pl,"104 Corson Pl, Ithaca, NY 14850",,1941,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMMHJqSVd4VUJLQms&export=download,
104 Devon Rd,"104 Devon Rd, Ithaca, NY 14850",,1924,,,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVW8wVmtuQjZncmc&export=download,
104 Highgate Rd,"104 Highgate Rd, Ithaca, NY 14850",,1951,,,Ranch,,Home of physicist and Nobel Prize winner Peter Debye from 1951 to 1976. Debye is buried nearby at Pleasant Grove Cemetery. (Major Award Winners),http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNGFXYXZKaExhRGM&export=download,
104 Klinewoods Rd,"104 Klinewoods Rd, Ithaca, NY 14850",,1932,,,Colonial,http://cayugaheightshistory.weebly.com/104-klinewoods-road.html,"Relatively inexpensive ""Kit houses,"" assembled from standardized parts and designs, became an affordable alternative to architect-designed homes as the demand for housing on the part of middle class buyers increased in the 1930s and thereafter. All the oak woodwork and floors, roofing, and brass fittings of 104 Klinewoods and its twin at 203 East Upland Road were shipped by the Bennett Company, whose work is archived at the North Tonawanda Historical Society Museum. Other kit houses in the Arts and Crafts, Bungalow, and Colonial Revival styles are scattered in the Village awaiting identification and their stories. Cornell physics professor Guy Grantham and his wife were the first owners of this house. Later home to school teacher, Mary V. Russell, 1965-79. (Notable Architecture)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMRGlGYWlDOWc5Mmc&export=download,
104 Lisa Pl,"104 Lisa Pl, Ithaca, NY 14850",,1984,,,Cape Cod,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMenZOejQ4MmNOenM&export=download,
104 Midway Rd,"42.4668168929974,-76.4852829829753",,1930,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMN0VMS252bzBZVFE&export=download,
104 North Sunset Dr,"104 North Sunset Dr, Ithaca, NY 14850",,1960,,,Contemporary,,"Home to Pulitzer Prize and National Humanities Medal winner David Brion Davis (1959-71), a historian and leading authority on the history of slavery and abolition. (Major Award Winners)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMZHFoN2dCMTBwMGs&export=download,
104 Northway Rd,"104 Northway Rd, Ithaca, NY 14850",,1925,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSWktcG8wOXVJTzA&export=download,
104 Overlook Rd,"104 Overlook Rd, Ithaca, NY 14850",,1880,Clinton Vivian,,Craftsman,,"Former residence of physicist and Manhattan Project scientist, Marshall Holloway, 1942-44. Also home to artist Epsie Berry Brandt. 1950s home of Chauncey A. Thompson, architect at Cornell. (Notable Architecture, Artists)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMd25qNFA0NzZXcjg&export=download,
104 Randolph Rd,"104 Randolph Rd, Ithaca, NY 14850",,1960,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMaHdENWk3c2ZQQ3M&export=download,
104 Texas Lane,"104 Texas Lane, Ithaca, NY 14850",,1952,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbzljNVRFUlEzQTg&export=download,
104 The Parkway,"104 The Parkway, Ithaca, NY 14850",,1915,,,Spanish Revival,,Notable Architecture,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMX3hycU1hc0dpbUE&export=download,
104 Warwick Pl,"104 Warwick Pl, Ithaca, NY 14850",,1964,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMbWRnWTRLdGotaE0&export=download,
104 White Park Pl,"104 White Park Pl, Ithaca, NY 14850",,1934,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMS2pKYm85ZHd4MXM&export=download,
104 Winthrop Dr,"104 Winthrop Dr, Ithaca, NY 14850",,1962,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSjdnR1p0VjE5VE0&export=download,
105 Berkshire Rd,"105 Berkshire Rd, Ithaca, NY 14850",,1958,,,Ranch,,"1996-2012 home of James A. Krumhansl, an American physicist who specialized in condensed matter physics and materials science.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSm5rLWRMSzJmSmM&export=download,
105 Burleigh Dr,"105 Burleigh Dr, Ithaca, NY 14850",,1974,,,Raised Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMTHpPd2tRZG5zTGs&export=download,
105 Comstock Rd,"105 Comstock Rd, Ithaca, NY 14850",,1974,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdmRzby0wOFRaVDA&export=download,
105 Devon Rd,"105 Devon Rd, Ithaca, NY 14850",,1925,,,Queen Anne,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMWEtCbkk2a3JLVTA&export=download,
105 Highgate Pl,"105 Highgate Pl, Ithaca, NY 14850",,1958,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdlhSZlhGb1BmS0E&export=download,
105 Highgate Rd,"105 Highgate Rd, Ithaca, NY 14850",,1965,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMQzJrRWdQVG1IZGs&export=download,
105 Iroquois Rd,"105 Iroquois Rd, Ithaca, NY 14850",,1952,Tallman & Tallman,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUWNvVEQ0czBxY2s&export=download,
105 Lenox Rd,"105 Lenox Rd, Ithaca, NY 14850",,1951,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdjc2OHhIWGhTZm8&export=download,
105 Lisa Pl,"105 Lisa Pl, Ithaca, NY 14850",,1983,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVHhjZ1dxNXlXOVU&export=download,
105 North Sunset Dr,"105 North Sunset Dr, Ithaca, NY 14850",,1954,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMYUhNNjdmMlNHc0E&export=download,
105 Oak Hill Pl,"105 Oak Hill Pl, Ithaca, NY 14850",,1932,,,Colonial,,"Home of organic chemist and Manhattan Project scientist, William T. Miller.",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSHBsbXlYY3FvLTA&export=download,
105 Oak Hill Rd,"105 Oak Hill Rd, Ithaca, NY 14850",,1936,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMSC1sXzBHcmNpVk0&export=download,
105 Randolph Rd,"105 Randolph Rd, Ithaca, NY 14850",,1962,,,Split Level,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVzlGT3lsYVNmUTA&export=download,
105 West Remington Rd ,"105 West Remington Rd, Ithaca, NY 14850",,1954,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMU0l4YzlKMjFXdUE&export=download,
105 Sheldon Rd,"105 Sheldon Rd, Ithaca, NY 14850",,1950,,,Contemporary,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMNFdYbnJlY1Y2RjA&export=download,
105 Simsbury Dr,"105 Simsbury Dr, Ithaca, NY 14850",,1973,,,Raised Ranch,,"1977-82 home of Tshishimbi wa Bilenga, Advisor to World Bank, Africa, Senior Advisor to Governor of Central Bank, Democratic Republic of Congo. ",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMdHRjbVAyeTJwdEE&export=download,
105 Texas Lane,"105 Texas Lane, Ithaca, NY 14850",,1950,,,Ranch,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMak4zVWtCQllFR2s&export=download,
105 West Upland Rd ,"105 West Upland Rd, Ithaca, NY 14850",,1920,,,Colonial,,,http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMUDdRZHp2aHB4XzA&export=download,
105 Warwick Pl,"105 Warwick Pl, Ithaca, NY 14850",,1963,,,Split Level,http://tcpl.org/local-history/documents/narratives-memoirs/Carrie_Manning.pdf,"Former site of the farm belonging to Thompson and Caroline Manning, whose daughter Carrie Manning wrote daily diary entries in 1869. Family members preserved the record of nineteenth century farm life and donated it to the History Center in Tompkins County, which has published it. The diary is available in print and digital format. (Farmhouses)",http://docs.google.com/uc?authuser=0&id=0BzXam-pMpzwMVjFZaEVEVWhBSFU&export=download,
105 Westbourne Lane,"105 Westbourne Lane, Ithaca, NY 14850",Former Tau Kappa Epsilon,1928,,,Inn/Lodge,,"Public Sites, Former Fraternity",http://docs.google.com/uc?authuser=0&id=0B3Dz3xQqxQ8rSkkzYURiaVozRzQ&export=download,small_blue
